Year,Month,Base/Project,LOBGroup,CostCategory,PlanRate
2021,1,Project,LOB_Group_4,Cost_Category_3,14468.21
2021,1,Base,LOB_Group_4,Cost_Category_4,18924.92
2021,1,Project,LOB_Group_4,Cost_Category_5,53303.95
2021,1,Project,LOB_Group_4,Cost_Category_6,83897.1
2021,1,Base,LOB_Group_4,Cost_Category_7,67714.59
2021,1,Project,LOB_Group_4,Cost_Category_8,31895.28
2021,1,Base,LOB_Group_4,Cost_Category_9,43718.28
2021,1,Base,LOB_Group_4,Cost_Category_10,4552.49
2021,1,Project,LOB_Group_4,Cost_Category_11,54056.11
2021,1,Project,LOB_Group_4,Cost_Category_12,33432.7
2021,1,Project,LOB_Group_4,Cost_Category_13,34909.41
2021,1,Base,LOB_Group_4,Cost_Category_14,82911.18
2021,1,Base,LOB_Group_4,Cost_Category_15,15713.89
2021,1,Project,LOB_Group_4,Cost_Category_16,2440.34
2021,1,Project,LOB_Group_5,Cost_Category_1,79463.0
2021,1,Base,LOB_Group_5,Cost_Category_2,26840.96
2021,1,Project,LOB_Group_5,Cost_Category_3,53099.26
2021,1,Base,LOB_Group_5,Cost_Category_4,63680.62
2021,1,Base,LOB_Group_5,Cost_Category_5,88314.52
2021,1,Project,LOB_Group_5,Cost_Category_6,45860.66
2021,1,Project,LOB_Group_5,Cost_Category_7,4101.54
2021,1,Base,LOB_Group_5,Cost_Category_8,37172.65
2021,1,Project,LOB_Group_5,Cost_Category_9,90546.41
2021,1,Project,LOB_Group_5,Cost_Category_10,50928.91
2021,1,Base,LOB_Group_5,Cost_Category_11,59239.67
2021,1,Project,LOB_Group_5,Cost_Category_12,8537.81
2021,1,Project,LOB_Group_5,Cost_Category_13,24473.45
2021,1,Project,LOB_Group_5,Cost_Category_14,5722.82
2021,1,Project,LOB_Group_5,Cost_Category_15,8783.11
2021,1,Project,LOB_Group_5,Cost_Category_16,23216.52
2021,1,Base,LOB_Group_6,Cost_Category_1,46878.38
2021,1,Base,LOB_Group_6,Cost_Category_2,1395.94
2021,1,Base,LOB_Group_6,Cost_Category_3,8740.54
2021,1,Base,LOB_Group_6,Cost_Category_4,41846.5
2021,1,Project,LOB_Group_6,Cost_Category_5,49142.67
2021,1,Project,LOB_Group_6,Cost_Category_6,72887.3
2021,1,Base,LOB_Group_6,Cost_Category_7,38939.42
2021,1,Project,LOB_Group_6,Cost_Category_8,36712.83
2021,1,Project,LOB_Group_6,Cost_Category_9,41414.76
2021,1,Project,LOB_Group_6,Cost_Category_10,13217.7
2021,1,Project,LOB_Group_6,Cost_Category_11,62825.5
2021,1,Project,LOB_Group_6,Cost_Category_12,87586.19
2021,1,Project,LOB_Group_6,Cost_Category_13,55697.76
2021,1,Project,LOB_Group_6,Cost_Category_14,63403.75
2021,1,Base,LOB_Group_6,Cost_Category_15,5742.28
2021,1,Base,LOB_Group_6,Cost_Category_16,57842.22
2021,1,Base,LOB_Group_7,Cost_Category_1,48520.43
2021,1,Base,LOB_Group_7,Cost_Category_2,25930.23
2021,1,Base,LOB_Group_7,Cost_Category_3,58380.82
2021,1,Project,LOB_Group_7,Cost_Category_4,74977.61
2021,1,Base,LOB_Group_7,Cost_Category_5,54736.86
2021,1,Base,LOB_Group_7,Cost_Category_6,44540.0
2021,1,Project,LOB_Group_7,Cost_Category_7,34612.23
2021,1,Base,LOB_Group_7,Cost_Category_8,52586.23
2021,1,Project,LOB_Group_7,Cost_Category_9,89860.27
2021,1,Project,LOB_Group_7,Cost_Category_10,2358.56
2021,1,Base,LOB_Group_7,Cost_Category_11,84874.55
2021,1,Base,LOB_Group_7,Cost_Category_12,80475.95
2021,1,Base,LOB_Group_7,Cost_Category_13,8546.58
2021,1,Base,LOB_Group_7,Cost_Category_14,70450.95
2021,1,Project,LOB_Group_7,Cost_Category_15,24919.49
2021,1,Base,LOB_Group_7,Cost_Category_16,34804.77
2021,1,Project,LOB_Group_8,Cost_Category_1,20165.44
2021,1,Base,LOB_Group_8,Cost_Category_2,37620.86
2021,1,Project,LOB_Group_8,Cost_Category_3,85855.35
2021,1,Base,LOB_Group_8,Cost_Category_4,59962.66
2021,1,Base,LOB_Group_8,Cost_Category_5,82447.53
2021,1,Base,LOB_Group_8,Cost_Category_6,33800.04
2021,1,Project,LOB_Group_8,Cost_Category_7,9415.45
2021,1,Project,LOB_Group_8,Cost_Category_8,19129.27
2021,1,Project,LOB_Group_8,Cost_Category_9,29804.19
2021,1,Base,LOB_Group_8,Cost_Category_10,30539.32
2021,1,Base,LOB_Group_8,Cost_Category_11,20669.47
2021,1,Project,LOB_Group_8,Cost_Category_12,50426.21
2021,1,Project,LOB_Group_8,Cost_Category_13,89210.57
2021,1,Base,LOB_Group_8,Cost_Category_14,37617.0
2021,1,Base,LOB_Group_8,Cost_Category_15,27670.91
2021,1,Project,LOB_Group_8,Cost_Category_16,98680.01
2021,2,Base,LOB_Group_1,Cost_Category_1,30236.83
2021,2,Base,LOB_Group_1,Cost_Category_2,39246.08
2021,2,Base,LOB_Group_1,Cost_Category_3,75903.25
2021,2,Project,LOB_Group_1,Cost_Category_4,81949.13
2021,2,Project,LOB_Group_1,Cost_Category_5,10757.52
2021,2,Base,LOB_Group_1,Cost_Category_6,84076.43
2021,2,Base,LOB_Group_1,Cost_Category_7,40990.06
2021,2,Project,LOB_Group_1,Cost_Category_8,10912.22
2021,2,Project,LOB_Group_1,Cost_Category_9,13232.7
2021,2,Base,LOB_Group_1,Cost_Category_10,14740.47
2021,2,Base,LOB_Group_1,Cost_Category_11,29109.32
2021,2,Base,LOB_Group_1,Cost_Category_12,28273.11
2021,2,Project,LOB_Group_1,Cost_Category_13,69513.66
2021,2,Base,LOB_Group_1,Cost_Category_14,58289.22
2021,2,Base,LOB_Group_1,Cost_Category_15,98456.8
2021,2,Base,LOB_Group_1,Cost_Category_16,24470.05
2021,2,Project,LOB_Group_2,Cost_Category_1,35257.78
2021,2,Project,LOB_Group_2,Cost_Category_2,59166.09
2021,2,Base,LOB_Group_2,Cost_Category_3,2220.77
2021,2,Base,LOB_Group_2,Cost_Category_4,69134.05
2021,2,Project,LOB_Group_2,Cost_Category_5,26896.74
2021,2,Project,LOB_Group_2,Cost_Category_6,69917.27
2021,2,Base,LOB_Group_2,Cost_Category_7,64491.35
2021,2,Base,LOB_Group_2,Cost_Category_8,42660.82
2021,2,Project,LOB_Group_2,Cost_Category_9,78998.05
2021,2,Base,LOB_Group_2,Cost_Category_10,97587.31
2021,2,Project,LOB_Group_2,Cost_Category_11,38260.38
2021,2,Base,LOB_Group_2,Cost_Category_12,43093.39
2021,2,Project,LOB_Group_2,Cost_Category_13,70165.68
2021,2,Project,LOB_Group_2,Cost_Category_14,45272.06
2021,2,Project,LOB_Group_2,Cost_Category_15,95174.44
2021,2,Project,LOB_Group_2,Cost_Category_16,63337.76
2021,2,Project,LOB_Group_3,Cost_Category_1,51443.31
2021,2,Project,LOB_Group_3,Cost_Category_2,11426.06
2021,2,Base,LOB_Group_3,Cost_Category_3,77581.0
2021,2,Base,LOB_Group_3,Cost_Category_4,96061.12
2021,2,Base,LOB_Group_3,Cost_Category_5,91744.75
2021,2,Base,LOB_Group_3,Cost_Category_6,85064.9
2021,2,Base,LOB_Group_3,Cost_Category_7,88781.42
2021,2,Base,LOB_Group_3,Cost_Category_8,23058.38
2021,2,Project,LOB_Group_3,Cost_Category_9,33473.33
2021,2,Project,LOB_Group_3,Cost_Category_10,66150.62
2021,2,Project,LOB_Group_3,Cost_Category_11,39103.65
2021,2,Project,LOB_Group_3,Cost_Category_12,83860.08
2021,2,Project,LOB_Group_3,Cost_Category_13,57909.36
2021,2,Project,LOB_Group_3,Cost_Category_14,67789.91
2021,2,Project,LOB_Group_3,Cost_Category_15,79265.25
2021,2,Base,LOB_Group_3,Cost_Category_16,98930.04
2021,2,Project,LOB_Group_4,Cost_Category_1,81429.25
2021,2,Base,LOB_Group_4,Cost_Category_2,22783.95
2021,2,Project,LOB_Group_4,Cost_Category_3,7585.44
2021,2,Project,LOB_Group_4,Cost_Category_4,17719.98
2021,2,Project,LOB_Group_4,Cost_Category_5,56382.2
2021,2,Base,LOB_Group_4,Cost_Category_6,94533.07
2021,2,Base,LOB_Group_4,Cost_Category_7,14008.97
2021,2,Project,LOB_Group_4,Cost_Category_8,39593.43
2021,2,Project,LOB_Group_4,Cost_Category_9,56576.94
2021,2,Project,LOB_Group_4,Cost_Category_10,34481.26
2021,2,Project,LOB_Group_4,Cost_Category_11,36262.82
2021,2,Base,LOB_Group_4,Cost_Category_12,1454.75
2021,2,Base,LOB_Group_4,Cost_Category_13,37317.37
2021,2,Base,LOB_Group_4,Cost_Category_14,74404.8
2021,2,Project,LOB_Group_4,Cost_Category_15,87098.96
2021,2,Project,LOB_Group_4,Cost_Category_16,19193.76
2021,2,Base,LOB_Group_5,Cost_Category_1,94534.46
2021,2,Project,LOB_Group_5,Cost_Category_2,95546.17
2021,2,Base,LOB_Group_5,Cost_Category_3,14108.16
2021,2,Base,LOB_Group_5,Cost_Category_4,23137.03
2021,2,Project,LOB_Group_5,Cost_Category_5,14046.3
2021,2,Base,LOB_Group_5,Cost_Category_6,68755.51
2021,2,Project,LOB_Group_5,Cost_Category_7,8329.36
2021,2,Project,LOB_Group_5,Cost_Category_8,39041.35
2021,2,Base,LOB_Group_5,Cost_Category_9,65704.02
2021,2,Project,LOB_Group_5,Cost_Category_10,48567.37
2021,2,Base,LOB_Group_5,Cost_Category_11,93664.91
2021,2,Base,LOB_Group_5,Cost_Category_12,3900.95
2021,2,Base,LOB_Group_5,Cost_Category_13,75463.63
2021,2,Base,LOB_Group_5,Cost_Category_14,24354.08
2021,2,Project,LOB_Group_5,Cost_Category_15,36008.17
2021,2,Base,LOB_Group_5,Cost_Category_16,96051.83
2021,2,Base,LOB_Group_6,Cost_Category_1,49476.36
2021,2,Base,LOB_Group_6,Cost_Category_2,67301.92
2021,2,Project,LOB_Group_6,Cost_Category_3,8131.29
2021,2,Project,LOB_Group_6,Cost_Category_4,43003.6
2021,2,Base,LOB_Group_6,Cost_Category_5,29298.29
2021,2,Project,LOB_Group_6,Cost_Category_6,53630.23
2021,2,Base,LOB_Group_6,Cost_Category_7,45121.29
2021,2,Base,LOB_Group_6,Cost_Category_8,99592.36
2021,2,Base,LOB_Group_6,Cost_Category_9,50936.9
2021,2,Base,LOB_Group_6,Cost_Category_10,67432.03
2021,2,Project,LOB_Group_6,Cost_Category_11,30987.47
2021,2,Base,LOB_Group_6,Cost_Category_12,12488.17
2021,2,Base,LOB_Group_6,Cost_Category_13,75761.82
2021,2,Project,LOB_Group_6,Cost_Category_14,79377.06
2021,2,Base,LOB_Group_6,Cost_Category_15,54418.18
2021,2,Base,LOB_Group_6,Cost_Category_16,67199.02
2021,2,Project,LOB_Group_7,Cost_Category_1,44009.23
2021,2,Project,LOB_Group_7,Cost_Category_2,72082.35
2021,2,Base,LOB_Group_7,Cost_Category_3,58537.49
2021,2,Base,LOB_Group_7,Cost_Category_4,89975.71
2021,2,Base,LOB_Group_7,Cost_Category_5,64351.98
2021,2,Project,LOB_Group_7,Cost_Category_6,19666.82
2021,2,Project,LOB_Group_7,Cost_Category_7,98442.05
2021,2,Base,LOB_Group_7,Cost_Category_8,84957.13
2021,2,Base,LOB_Group_7,Cost_Category_9,98759.4
2021,2,Project,LOB_Group_7,Cost_Category_10,48056.06
2021,2,Project,LOB_Group_7,Cost_Category_11,36056.11
2021,2,Project,LOB_Group_7,Cost_Category_12,30090.4
2021,2,Base,LOB_Group_7,Cost_Category_13,96147.65
2021,2,Project,LOB_Group_7,Cost_Category_14,70153.34
2021,2,Project,LOB_Group_7,Cost_Category_15,52550.22
2021,2,Project,LOB_Group_7,Cost_Category_16,49822.5
2021,2,Base,LOB_Group_8,Cost_Category_1,15140.76
2021,2,Base,LOB_Group_8,Cost_Category_2,72770.1
2021,2,Base,LOB_Group_8,Cost_Category_3,96139.63
2021,2,Project,LOB_Group_8,Cost_Category_4,29286.37
2021,2,Project,LOB_Group_8,Cost_Category_5,55723.93
2021,2,Project,LOB_Group_8,Cost_Category_6,38388.97
2021,2,Base,LOB_Group_8,Cost_Category_7,86204.66
2021,2,Base,LOB_Group_8,Cost_Category_8,99962.24
2021,2,Project,LOB_Group_8,Cost_Category_9,98398.16
2021,2,Project,LOB_Group_8,Cost_Category_10,73615.24
2021,2,Base,LOB_Group_8,Cost_Category_11,11031.32
2021,2,Base,LOB_Group_8,Cost_Category_12,44011.29
2021,2,Project,LOB_Group_8,Cost_Category_13,27297.55
2021,2,Base,LOB_Group_8,Cost_Category_14,37930.67
2021,2,Project,LOB_Group_8,Cost_Category_15,53467.66
2021,2,Base,LOB_Group_8,Cost_Category_16,7279.72
2021,3,Project,LOB_Group_1,Cost_Category_1,95470.68
2021,3,Project,LOB_Group_1,Cost_Category_2,95796.45
2021,3,Project,LOB_Group_1,Cost_Category_3,23966.47
2021,3,Project,LOB_Group_1,Cost_Category_4,3033.66
2021,3,Project,LOB_Group_1,Cost_Category_5,35585.64
2021,3,Project,LOB_Group_1,Cost_Category_6,12876.74
2021,3,Base,LOB_Group_1,Cost_Category_7,3693.7
2021,3,Project,LOB_Group_1,Cost_Category_8,77522.01
2021,3,Base,LOB_Group_1,Cost_Category_9,90614.73
2021,3,Base,LOB_Group_1,Cost_Category_10,6326.34
2021,3,Project,LOB_Group_1,Cost_Category_11,10647.78
2021,3,Project,LOB_Group_1,Cost_Category_12,95698.41
2021,3,Base,LOB_Group_1,Cost_Category_13,97717.33
2021,3,Project,LOB_Group_1,Cost_Category_14,94679.11
2021,3,Base,LOB_Group_1,Cost_Category_15,4611.49
2021,3,Base,LOB_Group_1,Cost_Category_16,38699.25
2021,3,Base,LOB_Group_2,Cost_Category_1,68727.4
2021,3,Project,LOB_Group_2,Cost_Category_2,98077.12
2021,3,Project,LOB_Group_2,Cost_Category_3,29380.99
2021,3,Base,LOB_Group_2,Cost_Category_4,5103.03
2021,3,Project,LOB_Group_2,Cost_Category_5,33082.88
2021,3,Base,LOB_Group_2,Cost_Category_6,18730.58
2021,3,Project,LOB_Group_2,Cost_Category_7,37035.57
2021,3,Project,LOB_Group_2,Cost_Category_8,72423.98
2021,3,Base,LOB_Group_2,Cost_Category_9,42451.75
2021,3,Project,LOB_Group_2,Cost_Category_10,15509.41
2021,3,Base,LOB_Group_2,Cost_Category_11,90734.12
2021,3,Project,LOB_Group_2,Cost_Category_12,72838.28
2021,3,Project,LOB_Group_2,Cost_Category_13,55687.35
2021,3,Base,LOB_Group_2,Cost_Category_14,99750.52
2021,3,Project,LOB_Group_2,Cost_Category_15,79324.41
2021,3,Base,LOB_Group_2,Cost_Category_16,20863.37
2021,3,Base,LOB_Group_3,Cost_Category_1,88276.48
2021,3,Project,LOB_Group_3,Cost_Category_2,2231.51
2021,3,Project,LOB_Group_3,Cost_Category_3,5211.2
2021,3,Project,LOB_Group_3,Cost_Category_4,57920.8
2021,3,Base,LOB_Group_3,Cost_Category_5,21743.97
2021,3,Project,LOB_Group_3,Cost_Category_6,56661.4
2021,3,Base,LOB_Group_3,Cost_Category_7,29114.17
2021,3,Base,LOB_Group_3,Cost_Category_8,18580.15
2021,3,Project,LOB_Group_3,Cost_Category_9,46896.76
2021,3,Base,LOB_Group_3,Cost_Category_10,79524.53
2021,3,Project,LOB_Group_3,Cost_Category_11,21765.09
2021,3,Project,LOB_Group_3,Cost_Category_12,6505.08
2021,3,Base,LOB_Group_3,Cost_Category_13,16379.48
2021,3,Project,LOB_Group_3,Cost_Category_14,14069.99
2021,3,Base,LOB_Group_3,Cost_Category_15,58114.36
2021,3,Base,LOB_Group_3,Cost_Category_16,86096.05
2021,3,Project,LOB_Group_4,Cost_Category_1,36607.73
2021,3,Project,LOB_Group_4,Cost_Category_2,10778.1
2021,3,Project,LOB_Group_4,Cost_Category_3,85399.63
2021,3,Base,LOB_Group_4,Cost_Category_4,51645.73
2021,3,Base,LOB_Group_4,Cost_Category_5,42489.87
2021,3,Base,LOB_Group_4,Cost_Category_6,87197.05
2021,3,Project,LOB_Group_4,Cost_Category_7,13392.8
2021,3,Project,LOB_Group_4,Cost_Category_8,14339.71
2021,3,Base,LOB_Group_4,Cost_Category_9,68262.13
2021,3,Project,LOB_Group_4,Cost_Category_10,12367.1
2021,3,Project,LOB_Group_4,Cost_Category_11,42977.06
2021,3,Project,LOB_Group_4,Cost_Category_12,12959.91
2021,3,Base,LOB_Group_4,Cost_Category_13,75211.93
2021,3,Base,LOB_Group_4,Cost_Category_14,56418.5
2021,3,Base,LOB_Group_4,Cost_Category_15,64850.95
2021,3,Project,LOB_Group_4,Cost_Category_16,66735.76
2021,3,Base,LOB_Group_5,Cost_Category_1,66836.71
2021,3,Project,LOB_Group_5,Cost_Category_2,78590.1
2021,3,Base,LOB_Group_5,Cost_Category_3,32731.01
2021,3,Project,LOB_Group_5,Cost_Category_4,5366.05
2021,3,Base,LOB_Group_5,Cost_Category_5,99494.85
2021,3,Project,LOB_Group_5,Cost_Category_6,53124.43
2021,3,Project,LOB_Group_5,Cost_Category_7,64643.32
2021,3,Base,LOB_Group_5,Cost_Category_8,23854.24
2021,3,Base,LOB_Group_5,Cost_Category_9,56935.47
2021,3,Base,LOB_Group_5,Cost_Category_10,3826.04
2021,3,Base,LOB_Group_5,Cost_Category_11,19315.37
2021,3,Base,LOB_Group_5,Cost_Category_12,37345.5
2021,3,Base,LOB_Group_5,Cost_Category_13,92017.87
2021,3,Base,LOB_Group_5,Cost_Category_14,6553.46
2021,3,Base,LOB_Group_5,Cost_Category_15,67810.51
2021,3,Project,LOB_Group_5,Cost_Category_16,32177.6
2021,3,Base,LOB_Group_6,Cost_Category_1,36812.62
2021,3,Base,LOB_Group_6,Cost_Category_2,63771.81
2021,3,Base,LOB_Group_6,Cost_Category_3,16193.5
2021,3,Project,LOB_Group_6,Cost_Category_4,9408.19
2021,3,Base,LOB_Group_6,Cost_Category_5,68336.19
2021,3,Base,LOB_Group_6,Cost_Category_6,26686.96
2021,3,Base,LOB_Group_6,Cost_Category_7,11577.73
2021,3,Project,LOB_Group_6,Cost_Category_8,56391.18
2021,3,Project,LOB_Group_6,Cost_Category_9,64563.39
2021,3,Project,LOB_Group_6,Cost_Category_10,49291.72
2021,3,Base,LOB_Group_6,Cost_Category_11,56457.17
2021,3,Base,LOB_Group_6,Cost_Category_12,33504.52
2021,3,Base,LOB_Group_6,Cost_Category_13,60481.77
2021,3,Project,LOB_Group_6,Cost_Category_14,52331.2
2021,3,Project,LOB_Group_6,Cost_Category_15,85218.21
2021,3,Base,LOB_Group_6,Cost_Category_16,39460.37
2021,3,Project,LOB_Group_7,Cost_Category_1,69649.25
2021,3,Project,LOB_Group_7,Cost_Category_2,27131.86
2021,3,Base,LOB_Group_7,Cost_Category_3,3321.9
2021,3,Project,LOB_Group_7,Cost_Category_4,69150.93
2021,3,Base,LOB_Group_7,Cost_Category_5,37901.94
2021,3,Project,LOB_Group_7,Cost_Category_6,33581.14
2021,3,Base,LOB_Group_7,Cost_Category_7,16728.58
2021,3,Base,LOB_Group_7,Cost_Category_8,11957.46
2021,3,Project,LOB_Group_7,Cost_Category_9,94719.46
2021,3,Project,LOB_Group_7,Cost_Category_10,81603.91
2021,3,Project,LOB_Group_7,Cost_Category_11,55119.47
2021,3,Base,LOB_Group_7,Cost_Category_12,61305.16
2021,3,Base,LOB_Group_7,Cost_Category_13,88958.09
2021,3,Project,LOB_Group_7,Cost_Category_14,63779.59
2021,3,Project,LOB_Group_7,Cost_Category_15,11093.22
2021,3,Project,LOB_Group_7,Cost_Category_16,58884.24
2021,3,Project,LOB_Group_8,Cost_Category_1,60452.42
2021,3,Project,LOB_Group_8,Cost_Category_2,60921.58
2021,3,Base,LOB_Group_8,Cost_Category_3,21767.76
2021,3,Project,LOB_Group_8,Cost_Category_4,97180.18
2021,3,Base,LOB_Group_8,Cost_Category_5,88121.81
2021,3,Base,LOB_Group_8,Cost_Category_6,8360.09
2021,3,Project,LOB_Group_8,Cost_Category_7,75360.66
2021,3,Project,LOB_Group_8,Cost_Category_8,74017.59
2021,3,Project,LOB_Group_8,Cost_Category_9,90839.54
2021,3,Project,LOB_Group_8,Cost_Category_10,73820.64
2021,3,Project,LOB_Group_8,Cost_Category_11,23981.62
2021,3,Base,LOB_Group_8,Cost_Category_12,29237.41
2021,3,Base,LOB_Group_8,Cost_Category_13,63320.67
2021,3,Project,LOB_Group_8,Cost_Category_14,3817.56
2021,3,Base,LOB_Group_8,Cost_Category_15,42794.88
2021,3,Project,LOB_Group_8,Cost_Category_16,43382.32
2021,4,Base,LOB_Group_1,Cost_Category_1,41454.25
2021,4,Project,LOB_Group_1,Cost_Category_2,64161.87
2021,4,Base,LOB_Group_1,Cost_Category_3,3012.18
2021,4,Base,LOB_Group_1,Cost_Category_4,96457.28
2021,4,Project,LOB_Group_1,Cost_Category_5,20727.27
2021,4,Base,LOB_Group_1,Cost_Category_6,72385.89
2021,4,Project,LOB_Group_1,Cost_Category_7,12589.07
2021,4,Base,LOB_Group_1,Cost_Category_8,24333.49
2021,4,Base,LOB_Group_1,Cost_Category_9,83844.98
2021,4,Project,LOB_Group_1,Cost_Category_10,35977.02
2021,4,Base,LOB_Group_1,Cost_Category_11,87136.73
2021,4,Project,LOB_Group_1,Cost_Category_12,8852.64
2021,4,Project,LOB_Group_1,Cost_Category_13,74916.41
2021,4,Project,LOB_Group_1,Cost_Category_14,40381.97
2021,4,Project,LOB_Group_1,Cost_Category_15,76585.69
2021,4,Base,LOB_Group_1,Cost_Category_16,89322.15
2021,4,Project,LOB_Group_2,Cost_Category_1,42948.56
2021,4,Project,LOB_Group_2,Cost_Category_2,73877.15
2021,4,Base,LOB_Group_2,Cost_Category_3,50207.49
2021,4,Project,LOB_Group_2,Cost_Category_4,70413.81
2021,4,Project,LOB_Group_2,Cost_Category_5,42443.19
2021,4,Project,LOB_Group_2,Cost_Category_6,90740.63
2021,4,Base,LOB_Group_2,Cost_Category_7,44853.07
2021,4,Project,LOB_Group_2,Cost_Category_8,5897.28
2021,4,Base,LOB_Group_2,Cost_Category_9,64553.67
2021,4,Project,LOB_Group_2,Cost_Category_10,10415.85
2021,4,Base,LOB_Group_2,Cost_Category_11,33849.78
2021,4,Project,LOB_Group_2,Cost_Category_12,98706.52
2021,4,Base,LOB_Group_2,Cost_Category_13,82505.04
2021,4,Project,LOB_Group_2,Cost_Category_14,45376.91
2021,4,Base,LOB_Group_2,Cost_Category_15,93116.78
2021,4,Base,LOB_Group_2,Cost_Category_16,98932.08
2021,4,Base,LOB_Group_3,Cost_Category_1,31086.54
2021,4,Project,LOB_Group_3,Cost_Category_2,21492.03
2021,4,Base,LOB_Group_3,Cost_Category_3,34195.78
2021,4,Project,LOB_Group_3,Cost_Category_4,78876.88
2021,4,Base,LOB_Group_3,Cost_Category_5,65736.09
2021,4,Project,LOB_Group_3,Cost_Category_6,78560.25
2021,4,Project,LOB_Group_3,Cost_Category_7,41908.28
2021,4,Base,LOB_Group_3,Cost_Category_8,84530.62
2021,4,Project,LOB_Group_3,Cost_Category_9,77465.9
2021,4,Project,LOB_Group_3,Cost_Category_10,53510.43
2021,4,Base,LOB_Group_3,Cost_Category_11,46470.35
2021,4,Base,LOB_Group_3,Cost_Category_12,4236.96
2021,4,Project,LOB_Group_3,Cost_Category_13,5518.05
2021,4,Project,LOB_Group_3,Cost_Category_14,6833.85
2021,4,Project,LOB_Group_3,Cost_Category_15,23051.66
2021,4,Base,LOB_Group_3,Cost_Category_16,60857.24
2021,4,Base,LOB_Group_4,Cost_Category_1,30413.47
2021,4,Project,LOB_Group_4,Cost_Category_2,32336.18
2021,4,Base,LOB_Group_4,Cost_Category_3,67432.51
2021,4,Project,LOB_Group_4,Cost_Category_4,16059.61
2021,4,Project,LOB_Group_4,Cost_Category_5,93124.36
2021,4,Base,LOB_Group_4,Cost_Category_6,44289.38
2021,4,Base,LOB_Group_4,Cost_Category_7,19625.55
2021,4,Base,LOB_Group_4,Cost_Category_8,18133.95
2021,4,Base,LOB_Group_4,Cost_Category_9,90166.74
2021,4,Base,LOB_Group_4,Cost_Category_10,98254.89
2021,4,Base,LOB_Group_4,Cost_Category_11,69801.42
2021,4,Base,LOB_Group_4,Cost_Category_12,84866.1
2021,4,Project,LOB_Group_4,Cost_Category_13,64363.4
2021,4,Project,LOB_Group_4,Cost_Category_14,59360.19
2021,4,Project,LOB_Group_4,Cost_Category_15,76981.83
2021,4,Project,LOB_Group_4,Cost_Category_16,15293.46
2021,4,Base,LOB_Group_5,Cost_Category_1,55262.45
